symbol,pattern_type,setup_time,level,breakout_time,deadline,side,entry_time,entry,exit_time,exit,result,retests_seen,entry_mode_assumption,pnl_points
EURNZD,peak,2025-05-08 00:00:00+00:00,1.90581,2025-05-08 07:45:00+00:00,2025-05-08 08:00:00+00:00,buy,2025-05-08 08:00:00+00:00,1.90606,2025-05-08 08:15:00+00:00,1.9050600000000002,SL,1,close_of_retest_candle,-99.99999999998897
EURNZD,dip,2025-09-05 08:00:00+00:00,1.98614,2025-09-05 13:00:00+00:00,2025-09-05 16:00:00+00:00,sell,2025-09-05 13:15:00+00:00,1.98532,2025-09-05 14:00:00+00:00,1.9863199999999999,SL,1,close_of_retest_candle,-99.99999999998897
EURNZD,dip,2025-09-10 08:00:00+00:00,1.96802,2025-09-10 13:45:00+00:00,2025-09-10 16:00:00+00:00,sell,2025-09-10 14:45:00+00:00,1.96772,2025-09-10 15:15:00+00:00,1.9687199999999998,SL,1,close_of_retest_candle,-99.99999999998897
EURNZD,peak,2026-02-04 04:00:00+00:00,1.96152,2026-02-04 10:00:00+00:00,2026-02-04 12:00:00+00:00,buy,2026-02-04 12:00:00+00:00,1.96169,2026-02-04 12:30:00+00:00,1.96069,SL,1,close_of_retest_candle,-99.99999999998897
EURNZD,peak,2026-02-05 08:00:00+00:00,1.9726,2026-02-05 15:00:00+00:00,2026-02-05 16:00:00+00:00,buy,2026-02-05 15:15:00+00:00,1.97291,2026-02-05 15:30:00+00:00,1.97191,SL,1,close_of_retest_candle,-99.99999999998897
EURNZD,peak,2026-02-13 00:00:00+00:00,1.96858,2026-02-13 06:15:00+00:00,2026-02-13 08:00:00+00:00,buy,2026-02-13 06:30:00+00:00,1.96923,2026-02-13 06:45:00+00:00,1.9682300000000001,SL,1,close_of_retest_candle,-99.99999999998897
