time_utc,open,high,low,close,volume
2025-02-20 00:00:00+00:00,85.807,86.069,85.722,85.957,10250.520363092422
2025-02-20 04:00:00+00:00,85.955,86.041,85.769,85.906,14859.050499081612
2025-02-20 08:00:00+00:00,85.906,86.196,85.899,85.974,18117.450503468513
2025-02-20 12:00:00+00:00,85.973,86.203,85.855,86.045,39276.76090049744
2025-02-20 16:00:00+00:00,86.044,86.36,86.018,86.309,22134.000486135483
2025-02-20 20:00:00+00:00,86.309,86.331,86.04,86.165,10291.79024861753
2025-02-21 00:00:00+00:00,86.163,86.894,86.15,86.704,22936.220732450485
2025-02-21 04:00:00+00:00,86.706,86.788,86.578,86.745,17049.340591073036
2025-02-21 08:00:00+00:00,86.745,86.81,86.501,86.517,21207.560532808304
2025-02-21 12:00:00+00:00,86.515,86.636,85.939,85.988,31496.49071484804
2025-02-21 16:00:00+00:00,85.987,86.031,85.452,85.519,27947.460589408875
2025-02-21 20:00:00+00:00,85.517,85.729,85.51,85.58,7639.800202444196
2025-02-23 20:00:00+00:00,85.594,85.939,85.556,85.893,6021.370163075626
2025-02-24 00:00:00+00:00,85.888,86.146,85.614,85.944,28723.220705866814
2025-02-24 04:00:00+00:00,85.947,86.095,85.823,85.946,15350.890431642532
2025-02-24 08:00:00+00:00,85.949,86.061,85.763,86.017,24084.91063129902
2025-02-24 12:00:00+00:00,86.015,86.156,85.567,85.712,36443.750801324844
2025-02-24 16:00:00+00:00,85.713,86.039,85.711,85.934,24022.15056180954
2025-02-24 20:00:00+00:00,85.935,85.944,85.655,85.835,10901.000229731202
2025-02-25 00:00:00+00:00,85.836,86.03,85.782,85.791,16296.5404047966
2025-02-25 04:00:00+00:00,85.789,85.944,85.446,85.459,14716.130391836166
2025-02-25 08:00:00+00:00,85.457,85.726,85.396,85.712,23981.980597496033
2025-02-25 12:00:00+00:00,85.713,85.752,84.926,85.193,41084.17096161842
2025-02-25 16:00:00+00:00,85.193,85.377,84.986,85.265,27596.270704746246
2025-02-25 20:00:00+00:00,85.265,85.442,85.096,85.402,10988.380242146552
2025-02-26 00:00:00+00:00,85.402,85.459,85.09,85.322,20246.490455389023
2025-02-26 04:00:00+00:00,85.32,85.448,85.262,85.36,13691.120386362076
2025-02-26 08:00:00+00:00,85.361,85.379,85.134,85.185,17598.76046550274
2025-02-26 12:00:00+00:00,85.184,85.338,84.979,85.264,29267.570773005486
2025-02-26 16:00:00+00:00,85.265,85.299,84.728,84.797,32160.09085035324
2025-02-26 20:00:00+00:00,84.799,84.922,84.727,84.831,12197.390318602324
2025-02-27 00:00:00+00:00,84.832,85.073,84.741,84.825,18816.17041504383
2025-02-27 04:00:00+00:00,84.823,84.915,84.61,84.84,11361.120356917381
