time_utc,open,high,low,close,volume
2025-02-19 08:00:00+00:00,0.63693,0.63738,0.63586,0.63614,8351.490319490433
2025-02-19 12:00:00+00:00,0.63613,0.63676,0.63511,0.63544,26389.530987024307
2025-02-19 16:00:00+00:00,0.63545,0.63645,0.63458,0.63506,20490.030792593956
2025-02-19 20:00:00+00:00,0.63507,0.63572,0.63372,0.63521,12984.000332638621
2025-02-20 00:00:00+00:00,0.63522,0.63529,0.63413,0.63481,29993.25071454048
2025-02-20 04:00:00+00:00,0.63489,0.63496,0.63419,0.63438,24462.360453128815
2025-02-20 08:00:00+00:00,0.63436,0.63522,0.63436,0.63474,25127.430527210236
2025-02-20 12:00:00+00:00,0.63474,0.63572,0.63398,0.63405,36432.26084792614
2025-02-20 16:00:00+00:00,0.63406,0.63426,0.63299,0.6333,29383.88048517704
2025-02-20 20:00:00+00:00,0.6333,0.63378,0.63222,0.6336,19326.040278360248
2025-02-21 00:00:00+00:00,0.6336,0.63405,0.6335,0.63371,16327.110639214516
2025-02-21 04:00:00+00:00,0.63371,0.63417,0.63293,0.63307,14593.920561432838
2025-02-21 08:00:00+00:00,0.63306,0.63387,0.63209,0.63302,19803.300758123398
2025-02-21 12:00:00+00:00,0.63301,0.63474,0.63294,0.63334,29732.85109603405
2025-02-21 16:00:00+00:00,0.63333,0.63358,0.63015,0.6305,26193.72100698948
2025-02-21 20:00:00+00:00,0.63051,0.63097,0.63024,0.63067,9606.69031535834
2025-02-23 20:00:00+00:00,0.62945,0.63224,0.62926,0.63222,9130.200176775455
2025-02-24 00:00:00+00:00,0.63223,0.63223,0.63092,0.63129,19382.940746426582
2025-02-24 04:00:00+00:00,0.63131,0.63212,0.6312,0.63202,16731.210632562637
2025-02-24 08:00:00+00:00,0.63202,0.63311,0.63128,0.63286,22939.710817933083
2025-02-24 12:00:00+00:00,0.63286,0.63299,0.62956,0.63001,29596.381126999855
2025-02-24 16:00:00+00:00,0.63001,0.63105,0.6298,0.63011,16451.700638771057
2025-02-24 20:00:00+00:00,0.63012,0.63024,0.62814,0.62845,13416.570367895067
2025-02-25 00:00:00+00:00,0.62845,0.62987,0.62838,0.62953,11492.070454716682
2025-02-25 04:00:00+00:00,0.62953,0.62982,0.62831,0.62838,11911.620438098907
2025-02-25 08:00:00+00:00,0.62837,0.62921,0.6278,0.62824,17083.950619101524
2025-02-25 12:00:00+00:00,0.62825,0.62825,0.62378,0.625,28737.72108411789
2025-02-25 16:00:00+00:00,0.62501,0.62501,0.62341,0.62403,22158.300839424133
2025-02-25 20:00:00+00:00,0.62401,0.62456,0.62273,0.62394,8897.250290751457
2025-02-26 00:00:00+00:00,0.62394,0.62417,0.62333,0.62371,12269.43046784401
2025-02-26 04:00:00+00:00,0.62372,0.62477,0.62367,0.62415,11619.420420050621
2025-02-26 08:00:00+00:00,0.62415,0.62487,0.62364,0.62453,16455.150565624237
2025-02-26 12:00:00+00:00,0.62454,0.62486,0.62267,0.62273,24984.870934009552
2025-02-26 16:00:00+00:00,0.62272,0.62486,0.62194,0.62353,30149.76115512848
2025-02-26 20:00:00+00:00,0.62353,0.62385,0.62251,0.62372,10795.620306484401
2025-02-27 00:00:00+00:00,0.62383,0.62455,0.62342,0.62433,22504.05047738552
2025-02-27 04:00:00+00:00,0.62433,0.62537,0.62419,0.62513,20355.240471482277
2025-02-27 08:00:00+00:00,0.62516,0.62686,0.62498,0.62668,23167.080526709557
2025-02-27 12:00:00+00:00,0.62659,0.62681,0.62267,0.62324,52814.31141138077
