time_utc,open,high,low,close,volume
2025-02-18 13:00:00+00:00,0.57,0.57009,0.56941,0.5695,1129.0500177145004
2025-02-18 13:15:00+00:00,0.56949,0.56977,0.56936,0.56968,872.8500217199326
2025-02-18 13:30:00+00:00,0.56969,0.57002,0.56958,0.56993,1379.620034456253
2025-02-18 13:45:00+00:00,0.56996,0.57014,0.56957,0.56976,1274.550021648407
2025-02-18 14:00:00+00:00,0.56978,0.57003,0.56951,0.56992,1120.350029349327
2025-02-18 14:15:00+00:00,0.56991,0.57028,0.56973,0.57014,899.1000289916992
2025-02-18 14:30:00+00:00,0.57015,0.57016,0.56955,0.56969,1395.6000287532806
2025-02-18 14:45:00+00:00,0.56971,0.57006,0.56969,0.57002,1265.2500211000443
2025-02-18 15:00:00+00:00,0.57003,0.57039,0.56994,0.57038,1434.1500352621078
2025-02-18 15:15:00+00:00,0.57038,0.57051,0.57017,0.5705,998.2500272989273
2025-02-18 15:30:00+00:00,0.57049,0.5706,0.57015,0.57037,849.1500164270401
2025-02-18 15:45:00+00:00,0.57037,0.57056,0.57015,0.57015,1322.000025510788
2025-02-18 16:00:00+00:00,0.57015,0.5704,0.5701,0.57015,1244.1000227928162
2025-02-18 16:15:00+00:00,0.57014,0.57054,0.57014,0.57045,853.9500172138214
2025-02-18 16:30:00+00:00,0.57044,0.57059,0.57018,0.57029,713.5500140190125
2025-02-18 16:45:00+00:00,0.57027,0.57044,0.57021,0.57042,900.0000139474869
2025-02-18 17:00:00+00:00,0.5704,0.57042,0.56984,0.56996,706.5000120401382
2025-02-18 17:15:00+00:00,0.56997,0.56999,0.56968,0.5699,525.9700136184692
2025-02-18 17:30:00+00:00,0.56988,0.56991,0.56963,0.56975,471.60000813007355
2025-02-18 17:45:00+00:00,0.56975,0.56991,0.56958,0.56989,519.7500160932541
2025-02-18 18:00:00+00:00,0.56981,0.57011,0.56968,0.56979,507.97001814842224
2025-02-18 18:15:00+00:00,0.56977,0.56981,0.56961,0.56979,449.0200102329254
2025-02-18 18:30:00+00:00,0.56978,0.56984,0.56967,0.56976,386.25001406669617
