symbol,pattern_type,setup_time,level,breakout_time,deadline,side,entry_time,entry,exit_time,exit,result,retests_seen,entry_mode_assumption,pnl_points
GBPAUD,peak,2025-02-28 08:00:00+00:00,2.02765,2025-02-28 13:45:00+00:00,2025-02-28 16:00:00+00:00,buy,2025-02-28 14:00:00+00:00,2.02832,2025-02-28 15:15:00+00:00,2.0303199999999997,TP,1,close_of_retest_candle,199.99999999997794
GBPAUD,peak,2025-11-21 08:00:00+00:00,2.03272,2025-11-21 14:45:00+00:00,2025-11-21 16:00:00+00:00,buy,2025-11-21 15:00:00+00:00,2.03392,2025-11-21 15:15:00+00:00,2.0329200000000003,SL,1,close_of_retest_candle,-99.99999999998897
GBPAUD,dip,2025-12-05 04:00:00+00:00,2.01313,2025-12-05 09:45:00+00:00,2025-12-05 12:00:00+00:00,sell,2025-12-05 10:00:00+00:00,2.01237,2025-12-05 10:45:00+00:00,2.0103700000000004,TP,1,close_of_retest_candle,199.99999999997794
GBPAUD,dip,2026-02-09 00:00:00+00:00,1.93341,2026-02-09 07:00:00+00:00,2026-02-09 08:00:00+00:00,sell,2026-02-09 07:15:00+00:00,1.93221,2026-02-09 07:30:00+00:00,1.9332099999999999,SL,1,close_of_retest_candle,-99.99999999998897
