symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
EURNZD,2025-02-25 20:00:00+00:00,2025-02-26 04:00:00+00:00,sell,2025-02-26 00:15:00+00:00,1.83567,2025-02-26 00:30:00+00:00,1.8366699999999998,SL,-99.99999999998897
EURNZD,2025-02-28 08:00:00+00:00,2025-02-28 16:00:00+00:00,sell,2025-02-28 11:30:00+00:00,1.85618,2025-02-28 12:30:00+00:00,1.8571799999999998,SL,-99.99999999998897
EURNZD,2025-03-04 20:00:00+00:00,2025-03-05 04:00:00+00:00,sell,2025-03-05 01:15:00+00:00,1.87638,2025-03-05 01:45:00+00:00,1.8773799999999998,SL,-99.99999999998897
EURNZD,2025-03-07 00:00:00+00:00,2025-03-07 08:00:00+00:00,buy,2025-03-07 07:30:00+00:00,1.8936,2025-03-07 07:45:00+00:00,1.8926,SL,-99.99999999998897
EURNZD,2025-03-11 16:00:00+00:00,2025-03-12 00:00:00+00:00,sell,2025-03-11 18:15:00+00:00,1.91363,2025-03-11 18:30:00+00:00,1.91163,TP,200.00000000000017
EURNZD,2025-03-13 00:00:00+00:00,2025-03-13 08:00:00+00:00,buy,2025-03-13 03:45:00+00:00,1.89918,2025-03-13 04:45:00+00:00,1.90118,TP,200.00000000000017
EURNZD,2025-03-18 00:00:00+00:00,2025-03-18 08:00:00+00:00,buy,2025-03-18 06:00:00+00:00,1.87579,2025-03-18 07:00:00+00:00,1.8747900000000002,SL,-99.99999999998897
EURNZD,2025-03-20 00:00:00+00:00,2025-03-20 08:00:00+00:00,buy,2025-03-20 05:30:00+00:00,1.88258,2025-03-20 06:45:00+00:00,1.88458,TP,200.00000000000017
EURNZD,2025-03-21 08:00:00+00:00,2025-03-21 16:00:00+00:00,buy,2025-03-21 10:00:00+00:00,1.8823,2025-03-21 10:15:00+00:00,1.8813000000000002,SL,-99.99999999998897
EURNZD,2025-03-25 00:00:00+00:00,2025-03-25 08:00:00+00:00,buy,2025-03-25 02:30:00+00:00,1.88666,2025-03-25 10:15:00+00:00,1.8856600000000001,SL,-99.99999999998897
EURNZD,2025-03-26 08:00:00+00:00,2025-03-26 16:00:00+00:00,buy,2025-03-26 11:15:00+00:00,1.87387,2025-03-26 12:00:00+00:00,1.87587,TP,200.00000000000017
