symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
EURUSD,2025-05-08 00:00:00+00:00,2025-05-08 08:00:00+00:00,buy,2025-05-08 03:00:00+00:00,1.13338,2025-05-08 04:00:00+00:00,1.1323800000000002,SL,-99.99999999998897
EURUSD,2025-05-08 20:00:00+00:00,2025-05-09 04:00:00+00:00,buy,2025-05-09 00:45:00+00:00,1.12267,2025-05-09 01:15:00+00:00,1.1216700000000002,SL,-99.99999999998897
EURUSD,2025-05-14 12:00:00+00:00,2025-05-14 20:00:00+00:00,sell,2025-05-14 18:00:00+00:00,1.11745,2025-05-14 20:00:00+00:00,1.1164500000000002,TP,99.99999999998897
EURUSD,2025-05-16 08:00:00+00:00,2025-05-16 16:00:00+00:00,sell,2025-05-16 11:30:00+00:00,1.11964,2025-05-16 14:00:00+00:00,1.11864,TP,99.99999999998897
EURUSD,2025-05-19 00:00:00+00:00,2025-05-19 08:00:00+00:00,sell,2025-05-19 02:30:00+00:00,1.11785,2025-05-19 06:00:00+00:00,1.11885,SL,-99.99999999998897
EURUSD,2025-05-21 04:00:00+00:00,2025-05-21 12:00:00+00:00,sell,2025-05-21 06:45:00+00:00,1.13326,2025-05-21 07:00:00+00:00,1.13226,TP,99.99999999998897
EURUSD,2025-05-22 20:00:00+00:00,2025-05-23 04:00:00+00:00,buy,2025-05-22 22:00:00+00:00,1.12852,2025-05-23 00:30:00+00:00,1.1295199999999999,TP,99.99999999998897
EURUSD,2025-05-27 04:00:00+00:00,2025-05-27 12:00:00+00:00,sell,2025-05-27 06:45:00+00:00,1.1365,2025-05-27 07:15:00+00:00,1.1355000000000002,TP,99.99999999998897
