symbol,pattern_type,setup_time,level,breakout_time,deadline,side,entry_time,entry,exit_time,exit,result,retests_seen,entry_mode_assumption,pnl_points
EURGBP,peak,2025-04-16 08:00:00+00:00,0.85763,2025-04-16 14:00:00+00:00,2025-04-16 16:00:00+00:00,buy,2025-04-16 14:15:00+00:00,0.85777,2025-04-16 16:45:00+00:00,0.85977,TP,1,close_of_retest_candle,200.00000000000017
EURGBP,dip,2025-05-05 12:00:00+00:00,0.85142,2025-05-05 17:30:00+00:00,2025-05-05 20:00:00+00:00,sell,2025-05-05 19:45:00+00:00,0.85112,2025-05-06 10:15:00+00:00,0.84912,TP,1,close_of_retest_candle,200.00000000000017
EURGBP,peak,2025-09-18 20:00:00+00:00,0.86987,2025-09-19 02:15:00+00:00,2025-09-19 04:00:00+00:00,buy,2025-09-19 02:30:00+00:00,0.87007,2025-09-19 05:15:00+00:00,0.86907,SL,1,close_of_retest_candle,-100.00000000000009
EURGBP,peak,2025-09-23 04:00:00+00:00,0.87385,2025-09-23 08:30:00+00:00,2025-09-23 12:00:00+00:00,buy,2025-09-23 08:45:00+00:00,0.874,2025-09-23 10:45:00+00:00,0.873,SL,1,close_of_retest_candle,-100.00000000000009
