time_utc,open,high,low,close,volume
2025-02-19 20:00:00+00:00,1.8242,1.82838,1.82382,1.82778,748.9799858480692
2025-02-20 00:00:00+00:00,1.82778,1.83002,1.82482,1.82528,2859.5599608570337
2025-02-20 04:00:00+00:00,1.82533,1.82547,1.82156,1.82334,2151.199977733195
2025-02-20 08:00:00+00:00,1.82337,1.8238,1.82,1.82373,3295.509965993464
2025-02-20 12:00:00+00:00,1.82377,1.82378,1.81742,1.81974,5663.179935865104
2025-02-20 16:00:00+00:00,1.81969,1.82232,1.81811,1.82206,3563.7299590185285
2025-02-20 20:00:00+00:00,1.8221,1.82245,1.81945,1.82141,1858.2299753800035
2025-02-21 00:00:00+00:00,1.82141,1.82169,1.8189,1.82049,2478.759970627725
2025-02-21 04:00:00+00:00,1.82048,1.8223,1.82021,1.82074,2816.809964708984
2025-02-21 08:00:00+00:00,1.82071,1.82089,1.81684,1.81818,4074.709946654737
2025-02-21 12:00:00+00:00,1.81817,1.82025,1.81726,1.81798,5350.10991524905
2025-02-21 16:00:00+00:00,1.81793,1.824,1.81699,1.82343,4414.479948975146
2025-02-21 20:00:00+00:00,1.82341,1.82345,1.82108,1.82151,1974.1599610000849
2025-02-23 20:00:00+00:00,1.82107,1.82253,1.81815,1.82159,2009.8199565857649
2025-02-24 00:00:00+00:00,1.82155,1.82919,1.82132,1.82546,3453.3699593767524
2025-02-24 04:00:00+00:00,1.82544,1.82681,1.82361,1.824,2708.709972076118
2025-02-24 08:00:00+00:00,1.82405,1.82486,1.82146,1.82201,3383.139961078763
2025-02-24 12:00:00+00:00,1.82203,1.8248,1.8204,1.82332,6269.929904304445
2025-02-24 16:00:00+00:00,1.82332,1.82458,1.82187,1.82414,2718.709965147078
2025-02-24 20:00:00+00:00,1.82416,1.82699,1.82401,1.8268,1574.36997384578
2025-02-25 00:00:00+00:00,1.82681,1.82817,1.82532,1.82686,1736.4299767017365
2025-02-25 04:00:00+00:00,1.82689,1.82837,1.82547,1.82767,1873.5299760624766
2025-02-25 08:00:00+00:00,1.82771,1.83449,1.82712,1.8331,5113.759925656021
2025-02-25 12:00:00+00:00,1.83309,1.83954,1.83256,1.83673,5304.159925036132
2025-02-25 16:00:00+00:00,1.83676,1.83816,1.8359,1.83726,3876.3399633318186
2025-02-25 20:00:00+00:00,1.83726,1.83779,1.8352,1.83584,2762.7499534264207
2025-02-26 00:00:00+00:00,1.83583,1.84002,1.83555,1.83899,2055.589963324368
2025-02-26 04:00:00+00:00,1.83898,1.83904,1.8358,1.838,1798.659973576665
2025-02-26 08:00:00+00:00,1.83798,1.84299,1.83765,1.84157,3266.569950811565
2025-02-26 12:00:00+00:00,1.84154,1.8431,1.84013,1.84159,7377.39989156276
2025-02-26 16:00:00+00:00,1.8416,1.84209,1.83686,1.84077,8312.95987907052
2025-02-26 20:00:00+00:00,1.84071,1.84209,1.83821,1.84035,1890.4599726572633
2025-02-27 00:00:00+00:00,1.84036,1.84126,1.83879,1.84084,2896.899960309267
2025-02-27 04:00:00+00:00,1.84087,1.84408,1.8407,1.84269,2292.699967034161
2025-02-27 08:00:00+00:00,1.84278,1.84452,1.84149,1.84356,4058.0999406203628
2025-02-27 12:00:00+00:00,1.84353,1.84594,1.84088,1.84438,9861.759834244847
2025-02-27 16:00:00+00:00,1.84438,1.84593,1.84326,1.84554,4535.869941562414
2025-02-27 20:00:00+00:00,1.84558,1.84755,1.84454,1.84723,2261.8899651914835
2025-02-28 00:00:00+00:00,1.84727,1.85416,1.8468,1.85411,3115.9299571439624
2025-02-28 04:00:00+00:00,1.85405,1.8561,1.85326,1.85591,2693.8299672156572
2025-02-28 08:00:00+00:00,1.85592,1.85747,1.85502,1.85576,4246.969923250377
2025-02-28 12:00:00+00:00,1.85578,1.85919,1.85501,1.85575,6762.569886639714
2025-02-28 16:00:00+00:00,1.85576,1.85863,1.8539,1.85495,9559.809869416058
2025-02-28 20:00:00+00:00,1.85494,1.85499,1.85201,1.85201,3294.0799446627498
2025-03-02 20:00:00+00:00,1.85522,1.85912,1.85483,1.85783,2240.859958693385
2025-03-03 00:00:00+00:00,1.85786,1.85976,1.85602,1.85931,3169.6299496889114
2025-03-03 04:00:00+00:00,1.8592,1.86077,1.85658,1.85746,1811.7999707758427
2025-03-03 08:00:00+00:00,1.85749,1.86526,1.85479,1.86475,4257.4399335458875
2025-03-03 12:00:00+00:00,1.86475,1.86729,1.86248,1.86332,7742.3198729828
2025-03-03 16:00:00+00:00,1.86331,1.86562,1.86046,1.86428,5390.319925434887
2025-03-03 20:00:00+00:00,1.86429,1.86904,1.86425,1.86814,3628.6599511876702
2025-03-04 00:00:00+00:00,1.8681,1.87072,1.86672,1.86979,3222.329954005778
2025-03-04 04:00:00+00:00,1.8698,1.87161,1.86813,1.87003,2743.6299527436495
2025-03-04 08:00:00+00:00,1.87004,1.87394,1.86763,1.87077,6479.45989459008
2025-03-04 12:00:00+00:00,1.87073,1.874,1.86862,1.87333,9037.85985480994
2025-03-04 16:00:00+00:00,1.87329,1.8812,1.87288,1.87813,8296.119897224009
2025-03-04 20:00:00+00:00,1.87813,1.87895,1.87374,1.87642,7158.489885956049
2025-03-05 00:00:00+00:00,1.8764,1.88064,1.87484,1.87961,6065.819931000471
2025-03-05 04:00:00+00:00,1.87962,1.88359,1.87745,1.88346,3742.3199494481087
2025-03-05 08:00:00+00:00,1.8834,1.88653,1.87946,1.8797,7809.469888731837
2025-03-05 12:00:00+00:00,1.87974,1.88803,1.87952,1.88796,13325.019800961018
2025-03-05 16:00:00+00:00,1.88794,1.88959,1.88314,1.88371,10931.859854489565
2025-03-05 20:00:00+00:00,1.8837,1.88525,1.8818,1.88429,2730.31996358186
2025-03-06 00:00:00+00:00,1.88431,1.88768,1.88215,1.88279,3420.399963453412
2025-03-06 04:00:00+00:00,1.88272,1.88576,1.88121,1.88423,4112.779942929745
2025-03-06 08:00:00+00:00,1.88425,1.88565,1.8804,1.88228,9640.909858062863
2025-03-06 12:00:00+00:00,1.88224,1.88866,1.87953,1.88208,15510.029782392085
2025-03-06 16:00:00+00:00,1.88207,1.88294,1.87665,1.88163,8457.72990270704
2025-03-06 20:00:00+00:00,1.88169,1.88193,1.87902,1.88043,2288.28996386379
2025-03-07 00:00:00+00:00,1.88046,1.89017,1.87972,1.88992,3046.7799499705434
2025-03-07 04:00:00+00:00,1.88989,1.89556,1.88977,1.8928,3473.0799522548914
2025-03-07 08:00:00+00:00,1.8928,1.89967,1.8925,1.89906,5122.639920778573
2025-03-07 12:00:00+00:00,1.89907,1.90522,1.89652,1.90124,13629.349747724831
2025-03-07 16:00:00+00:00,1.90118,1.90382,1.89839,1.899,7358.299884445965
2025-03-07 20:00:00+00:00,1.89889,1.89937,1.89621,1.89661,2050.709961593151
2025-03-09 20:00:00+00:00,1.89616,1.90241,1.89565,1.90229,3312.219940148294
2025-03-10 00:00:00+00:00,1.90229,1.90258,1.89578,1.89611,2093.9099668338895
2025-03-10 04:00:00+00:00,1.89612,1.89651,1.88708,1.88815,2747.4899566844106
2025-03-10 08:00:00+00:00,1.8882,1.89427,1.8868,1.89185,9637.749838791788
2025-03-10 12:00:00+00:00,1.89191,1.89337,1.88848,1.89329,8219.25986905396
2025-03-10 16:00:00+00:00,1.89328,1.9017,1.89191,1.9006,5347.629930861294
2025-03-10 20:00:00+00:00,1.90069,1.90588,1.89753,1.90318,2922.4399580955505
2025-03-11 00:00:00+00:00,1.90317,1.90945,1.90125,1.9066,4539.519948042929
2025-03-11 04:00:00+00:00,1.90663,1.91198,1.90561,1.90978,4059.2699457406998
2025-03-11 08:00:00+00:00,1.90979,1.91379,1.90883,1.91127,6777.559893630445
2025-03-11 12:00:00+00:00,1.91127,1.91667,1.90998,1.91373,10918.219836257398
2025-03-11 16:00:00+00:00,1.91372,1.91581,1.90925,1.91014,5384.899935156107
2025-03-11 20:00:00+00:00,1.91025,1.91079,1.90816,1.91065,1850.669964633882
2025-03-12 00:00:00+00:00,1.91063,1.91187,1.90912,1.91125,1626.5999791249633
2025-03-12 04:00:00+00:00,1.91128,1.91184,1.90828,1.9097,2290.6299711987376
2025-03-12 08:00:00+00:00,1.90969,1.91233,1.90858,1.9102,4217.819946460426
2025-03-12 12:00:00+00:00,1.91021,1.91147,1.90305,1.9089,10240.649841368198
2025-03-12 16:00:00+00:00,1.90889,1.90892,1.89985,1.90114,3744.349958755076
2025-03-12 20:00:00+00:00,1.9011,1.90134,1.89696,1.89696,1438.5299815759063
2025-03-13 00:00:00+00:00,1.89703,1.89972,1.89569,1.89918,2680.2299699038267
2025-03-13 04:00:00+00:00,1.8992,1.90545,1.89871,1.90369,3163.439956858754
2025-03-13 08:00:00+00:00,1.90366,1.90842,1.90263,1.90515,4891.839936248958
2025-03-13 12:00:00+00:00,1.90514,1.90731,1.90047,1.90223,10487.589844048023
2025-03-13 16:00:00+00:00,1.9022,1.90604,1.90157,1.90244,3882.0599655881524
2025-03-13 20:00:00+00:00,1.90246,1.90548,1.90066,1.90338,1432.199978478253
2025-03-14 00:00:00+00:00,1.90339,1.90472,1.89818,1.89949,2437.5099723115563
2025-03-14 04:00:00+00:00,1.89955,1.89991,1.89298,1.89381,2853.1099635511637
2025-03-14 08:00:00+00:00,1.89385,1.9058,1.89363,1.90247,6831.029902741313
2025-03-14 12:00:00+00:00,1.90253,1.90325,1.89193,1.89384,7624.439893700182
2025-03-14 16:00:00+00:00,1.89386,1.89529,1.89208,1.89241,2753.0599715560675
2025-03-14 20:00:00+00:00,1.89244,1.89276,1.89088,1.89177,774.2099870070815
2025-03-16 20:00:00+00:00,1.89154,1.893,1.8878,1.89144,1731.9299801662564
2025-03-17 00:00:00+00:00,1.89145,1.89278,1.88877,1.88952,2062.8899794742465
2025-03-17 04:00:00+00:00,1.88946,1.89034,1.88454,1.88514,3431.1699742227793
2025-03-17 08:00:00+00:00,1.88513,1.88648,1.88266,1.8833,4598.939956054091
2025-03-17 12:00:00+00:00,1.8833,1.88391,1.87896,1.87975,6607.509927913547
2025-03-17 16:00:00+00:00,1.87977,1.8798,1.8744,1.87562,2667.819969370961
2025-03-17 20:00:00+00:00,1.87559,1.8776,1.87374,1.87488,1081.6999863758683
2025-03-18 00:00:00+00:00,1.87487,1.87648,1.872,1.87626,1809.1599787026644
2025-03-18 04:00:00+00:00,1.87624,1.87795,1.8744,1.87775,1935.6599756404757
