symbol,pattern_type,setup_time,level,breakout_time,deadline,side,entry_time,entry,exit_time,exit,result,retests_seen,entry_mode_assumption,pnl_points
GBPCAD,peak,2025-04-15 20:00:00+00:00,1.84742,2025-04-16 01:30:00+00:00,2025-04-16 04:00:00+00:00,buy,2025-04-16 01:45:00+00:00,1.84758,2025-04-16 05:45:00+00:00,1.84958,TP,1,close_of_retest_candle,200.00000000000017
GBPCAD,dip,2025-08-18 12:00:00+00:00,1.86587,2025-08-18 17:15:00+00:00,2025-08-18 20:00:00+00:00,sell,2025-08-18 17:30:00+00:00,1.86574,2025-08-18 20:30:00+00:00,1.86374,TP,1,close_of_retest_candle,200.00000000000017
GBPCAD,dip,2025-10-08 04:00:00+00:00,1.86943,2025-10-08 11:30:00+00:00,2025-10-08 12:00:00+00:00,sell,2025-10-08 11:45:00+00:00,1.8694,2025-10-08 12:30:00+00:00,1.8703999999999998,SL,1,close_of_retest_candle,-99.99999999998897
GBPCAD,dip,2026-02-09 08:00:00+00:00,1.85389,2026-02-09 14:00:00+00:00,2026-02-09 16:00:00+00:00,sell,2026-02-09 14:15:00+00:00,1.85355,2026-02-09 14:30:00+00:00,1.85155,TP,1,close_of_retest_candle,200.00000000000017
GBPCAD,dip,2026-02-17 08:00:00+00:00,1.84931,2026-02-17 13:00:00+00:00,2026-02-17 16:00:00+00:00,sell,2026-02-17 13:30:00+00:00,1.84881,2026-02-17 13:45:00+00:00,1.84981,SL,1,close_of_retest_candle,-99.99999999998897
