symbol,trades,tp,sl,eod,winrate,pnl_total,pnl_mean,pnl_std
AUDCHF,141,70,71,0,0.49645390070921985,6900.000000000005,48.93617021276599,150.53097511171958
CHFJPY,148,70,78,0,0.47297297297297297,6199.999999999647,41.89189189188951,150.2892963150404
GBPNZD,142,68,74,0,0.4788732394366197,6199.999999999317,43.6619718309811,150.3965390862734
AUDNZD,137,66,71,0,0.48175182481751827,6100.000000000795,44.525547445261275,150.45016178377023
EURCAD,136,63,73,0,0.4632352941176471,5300.000000000815,38.97058823530011,150.14698680645307
NZDCHF,132,60,72,0,0.45454545454545453,4800.000000000005,36.363636363636395,149.9479437777141
GBPAUD,141,62,79,0,0.4397163120567376,4499.999999999659,31.91489361701886,149.43663202467093
AUDCAD,139,61,78,0,0.43884892086330934,4400.000000000003,31.654676258992826,149.41236160518295
AUDJPY,138,60,78,0,0.43478260869565216,4200.000000000614,30.4347826087001,149.26031522493466
EURNZD,144,62,82,0,0.4305555555555556,4200.000000000604,29.16666666667086,149.0646830080062
AUDUSD,134,54,80,0,0.40298507462686567,2800.000000000002,20.895522388059714,147.701500883569
EURCHF,126,51,74,1,0.40476190476190477,2790.0000000000027,22.142857142857164,147.4671876336274
EURUSD,131,52,79,0,0.3969465648854962,2500.00000000088,19.08396946565557,147.34287788732976
EURGBP,122,48,73,1,0.39344262295081966,2283.000000000012,18.71311475409846,146.79965993543823
GBPCHF,125,49,76,0,0.392,2200.0000000008463,17.60000000000677,147.0483791357458
NZDCAD,128,50,78,0,0.390625,2200.000000000002,17.187500000000014,146.94225926892221
NZDUSD,143,54,89,0,0.3776223776223776,1900.0000000000016,13.286713286713297,145.94894063652634
CADCHF,133,50,82,1,0.37593984962406013,1868.9999999999984,14.052631578947356,145.60471165939757
NZDJPY,154,57,97,0,0.37012987012987014,1700.0000000007135,11.038961038965672,145.32437834962155
USDCHF,132,49,83,0,0.3712121212121212,1500.0000000000011,11.363636363636372,145.49086552094855
GBPCAD,137,50,87,0,0.36496350364963503,1300.000000000968,9.489051094897576,144.95598301412548
CADJPY,142,51,91,0,0.3591549295774648,1100.000000000662,7.746478873244099,144.43528755978534
USDJPY,148,53,95,0,0.3581081081081081,1099.9999999999377,7.4324324324320115,144.32164390749955
EURJPY,128,45,83,0,0.3515625,699.9999999999602,5.468749999999689,143.8002736464192
GBPUSD,149,50,99,0,0.33557046979865773,100.00000000110077,0.6711409396047032,142.13461657560205
GBPJPY,128,43,85,0,0.3359375,99.99999999999432,0.7812499999999556,142.2519079483939
EURAUD,142,47,95,0,0.33098591549295775,-99.9999999989443,-0.7042253521052416,141.67011870966238
USDCAD,134,39,95,0,0.291044776119403,-1699.9999999989464,-12.686567164171242,136.78457998605057
