symbol,pattern_type,setup_time,level,breakout_time,deadline,side,entry_time,entry,exit_time,exit,result,retests_seen,entry_mode_assumption,pnl_points
GBPNZD,dip,2025-04-09 20:00:00+00:00,2.2606,2025-04-10 03:45:00+00:00,2025-04-10 04:00:00+00:00,sell,2025-04-10 04:00:00+00:00,2.25806,2025-04-10 04:30:00+00:00,2.25906,SL,1,close_of_retest_candle,-99.99999999998897
GBPNZD,peak,2025-05-15 00:00:00+00:00,2.25123,2025-05-15 04:30:00+00:00,2025-05-15 08:00:00+00:00,buy,2025-05-15 05:00:00+00:00,2.25206,2025-05-15 05:30:00+00:00,2.25406,TP,1,close_of_retest_candle,199.99999999997794
GBPNZD,dip,2025-09-25 04:00:00+00:00,2.30958,2025-09-25 08:00:00+00:00,2025-09-25 12:00:00+00:00,sell,2025-09-25 08:30:00+00:00,2.309,2025-09-25 10:30:00+00:00,2.31,SL,1,close_of_retest_candle,-99.99999999998897
GBPNZD,peak,2025-11-07 08:00:00+00:00,2.3409,2025-11-07 15:00:00+00:00,2025-11-07 16:00:00+00:00,buy,2025-11-07 15:15:00+00:00,2.3423,2025-11-07 16:15:00+00:00,2.3442999999999996,TP,1,close_of_retest_candle,199.99999999997794
GBPNZD,peak,2026-02-02 00:00:00+00:00,2.27978,2026-02-02 06:45:00+00:00,2026-02-02 08:00:00+00:00,buy,2026-02-02 07:00:00+00:00,2.28003,2026-02-02 07:15:00+00:00,2.27903,SL,1,close_of_retest_candle,-99.99999999998897
