symbol,pattern_type,setup_time,level,breakout_time,deadline,side,entry_time,entry,exit_time,exit,result,retests_seen,entry_mode_assumption,pnl_points
EURAUD,peak,2025-02-25 00:00:00+00:00,1.65068,2025-02-25 07:45:00+00:00,2025-02-25 08:00:00+00:00,buy,2025-02-25 08:00:00+00:00,1.65176,2025-02-25 08:30:00+00:00,1.65076,SL,1,close_of_retest_candle,-99.99999999998897
EURAUD,peak,2025-03-04 08:00:00+00:00,1.69537,2025-03-04 15:45:00+00:00,2025-03-04 16:00:00+00:00,buy,2025-03-04 16:00:00+00:00,1.69623,2025-03-04 17:00:00+00:00,1.69523,SL,1,close_of_retest_candle,-99.99999999998897
EURAUD,dip,2025-05-25 20:00:00+00:00,1.74748,2025-05-26 01:30:00+00:00,2025-05-26 04:00:00+00:00,sell,2025-05-26 01:45:00+00:00,1.74725,2025-05-26 02:45:00+00:00,1.7482499999999999,SL,1,close_of_retest_candle,-99.99999999998897
EURAUD,dip,2025-09-05 08:00:00+00:00,1.78388,2025-09-05 13:00:00+00:00,2025-09-05 16:00:00+00:00,sell,2025-09-05 13:45:00+00:00,1.78316,2025-09-05 14:00:00+00:00,1.78416,SL,1,close_of_retest_candle,-99.99999999998897
EURAUD,peak,2025-11-17 20:00:00+00:00,1.78715,2025-11-18 03:00:00+00:00,2025-11-18 04:00:00+00:00,buy,2025-11-18 03:15:00+00:00,1.78778,2025-11-18 04:00:00+00:00,1.78978,TP,1,close_of_retest_candle,200.00000000000017
EURAUD,dip,2026-01-05 04:00:00+00:00,1.74758,2026-01-05 11:15:00+00:00,2026-01-05 12:00:00+00:00,sell,2026-01-05 11:30:00+00:00,1.74722,2026-01-05 13:00:00+00:00,1.7482199999999999,SL,1,close_of_retest_candle,-99.99999999998897
EURAUD,dip,2026-01-19 20:00:00+00:00,1.73323,2026-01-20 03:00:00+00:00,2026-01-20 04:00:00+00:00,sell,2026-01-20 03:45:00+00:00,1.73267,2026-01-20 04:45:00+00:00,1.73067,TP,1,close_of_retest_candle,200.00000000000017
EURAUD,dip,2026-02-11 20:00:00+00:00,1.66341,2026-02-12 01:15:00+00:00,2026-02-12 04:00:00+00:00,sell,2026-02-12 01:45:00+00:00,1.66302,2026-02-12 02:15:00+00:00,1.6640199999999998,SL,1,close_of_retest_candle,-99.99999999998897
