symbol,pattern_type,setup_time,level,breakout_time,deadline,side,entry_time,entry,exit_time,exit,result,retests_seen,entry_mode_assumption,pnl_points
EURCAD,peak,2025-02-26 04:00:00+00:00,1.50543,2025-02-26 10:45:00+00:00,2025-02-26 12:00:00+00:00,buy,2025-02-26 11:00:00+00:00,1.50567,2025-02-26 11:15:00+00:00,1.5046700000000002,SL,1,close_of_retest_candle,-99.99999999998897
EURCAD,peak,2025-07-04 08:00:00+00:00,1.60143,2025-07-04 13:15:00+00:00,2025-07-04 16:00:00+00:00,buy,2025-07-04 13:30:00+00:00,1.60163,2025-07-04 20:45:00+00:00,1.6006300000000002,SL,1,close_of_retest_candle,-99.99999999998897
EURCAD,dip,2025-10-21 20:00:00+00:00,1.62553,2025-10-22 03:00:00+00:00,2025-10-22 04:00:00+00:00,sell,2025-10-22 03:45:00+00:00,1.62537,2025-10-22 14:00:00+00:00,1.62337,TP,1,close_of_retest_candle,200.00000000000017
EURCAD,peak,2025-11-03 08:00:00+00:00,1.61801,2025-11-03 13:45:00+00:00,2025-11-03 16:00:00+00:00,buy,2025-11-03 14:00:00+00:00,1.61813,2025-11-03 15:30:00+00:00,1.62013,TP,1,close_of_retest_candle,200.00000000000017
