symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
GBPAUD,2025-02-25 00:00:00+00:00,2025-02-25 08:00:00+00:00,sell,2025-02-25 04:15:00+00:00,1.98826,2025-02-25 04:30:00+00:00,1.9892599999999998,SL,-99.99999999998897
GBPAUD,2025-02-25 16:00:00+00:00,2025-02-26 00:00:00+00:00,sell,2025-02-25 18:00:00+00:00,1.99802,2025-02-25 22:00:00+00:00,1.99602,TP,200.00000000000017
GBPAUD,2025-02-26 20:00:00+00:00,2025-02-27 04:00:00+00:00,sell,2025-02-26 23:30:00+00:00,2.00876,2025-02-27 00:00:00+00:00,2.00976,SL,-99.99999999998897
GBPAUD,2025-02-28 08:00:00+00:00,2025-02-28 16:00:00+00:00,sell,2025-02-28 10:45:00+00:00,2.02641,2025-02-28 13:15:00+00:00,2.0274099999999997,SL,-99.99999999998897
GBPAUD,2025-03-04 08:00:00+00:00,2025-03-04 16:00:00+00:00,sell,2025-03-04 11:00:00+00:00,2.04214,2025-03-04 11:30:00+00:00,2.0431399999999997,SL,-99.99999999998897
GBPAUD,2025-03-06 04:00:00+00:00,2025-03-06 12:00:00+00:00,buy,2025-03-06 07:15:00+00:00,2.03515,2025-03-06 07:45:00+00:00,2.0371499999999996,TP,199.99999999997794
GBPAUD,2025-03-10 00:00:00+00:00,2025-03-10 08:00:00+00:00,sell,2025-03-10 07:30:00+00:00,2.04214,2025-03-10 07:45:00+00:00,2.04014,TP,199.99999999997794
GBPAUD,2025-03-11 04:00:00+00:00,2025-03-11 12:00:00+00:00,sell,2025-03-11 07:15:00+00:00,2.05471,2025-03-11 08:15:00+00:00,2.05571,SL,-99.99999999998897
GBPAUD,2025-03-13 00:00:00+00:00,2025-03-13 08:00:00+00:00,buy,2025-03-13 03:15:00+00:00,2.05068,2025-03-13 04:30:00+00:00,2.0526799999999996,TP,199.99999999997794
GBPAUD,2025-03-14 00:00:00+00:00,2025-03-14 08:00:00+00:00,sell,2025-03-14 03:00:00+00:00,2.05803,2025-03-14 04:15:00+00:00,2.0560300000000002,TP,199.99999999997794
GBPAUD,2025-03-18 20:00:00+00:00,2025-03-19 04:00:00+00:00,sell,2025-03-18 23:30:00+00:00,2.04325,2025-03-19 06:45:00+00:00,2.0412500000000002,TP,199.99999999997794
GBPAUD,2025-03-20 12:00:00+00:00,2025-03-20 20:00:00+00:00,sell,2025-03-20 14:15:00+00:00,2.06147,2025-03-20 15:00:00+00:00,2.05947,TP,199.99999999997794
GBPAUD,2025-03-24 08:00:00+00:00,2025-03-24 16:00:00+00:00,sell,2025-03-24 11:00:00+00:00,2.05683,2025-03-24 12:00:00+00:00,2.05783,SL,-99.99999999998897
GBPAUD,2025-03-25 12:00:00+00:00,2025-03-25 20:00:00+00:00,buy,2025-03-25 14:00:00+00:00,2.05137,2025-03-25 14:15:00+00:00,2.05037,SL,-99.99999999998897
GBPAUD,2025-03-31 12:00:00+00:00,2025-03-31 20:00:00+00:00,sell,2025-03-31 14:30:00+00:00,2.07381,2025-03-31 14:45:00+00:00,2.07481,SL,-99.99999999998897
GBPAUD,2025-04-02 08:00:00+00:00,2025-04-02 16:00:00+00:00,buy,2025-04-02 13:15:00+00:00,2.05471,2025-04-02 13:30:00+00:00,2.05371,SL,-99.99999999998897
GBPAUD,2025-04-03 04:00:00+00:00,2025-04-03 12:00:00+00:00,sell,2025-04-03 06:15:00+00:00,2.08109,2025-04-03 06:30:00+00:00,2.0790900000000003,TP,199.99999999997794
GBPAUD,2025-04-08 08:00:00+00:00,2025-04-08 16:00:00+00:00,buy,2025-04-08 14:15:00+00:00,2.10898,2025-04-08 14:45:00+00:00,2.1109799999999996,TP,199.99999999997794
GBPAUD,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,sell,2025-04-09 11:45:00+00:00,2.12837,2025-04-09 12:00:00+00:00,2.1293699999999998,SL,-99.99999999998897
GBPAUD,2025-04-11 08:00:00+00:00,2025-04-11 16:00:00+00:00,sell,2025-04-11 12:15:00+00:00,2.09556,2025-04-11 12:30:00+00:00,2.0965599999999998,SL,-99.99999999998897
GBPAUD,2025-04-16 08:00:00+00:00,2025-04-16 16:00:00+00:00,sell,2025-04-16 12:15:00+00:00,2.08076,2025-04-16 12:30:00+00:00,2.08176,SL,-99.99999999998897
GBPAUD,2025-04-18 00:00:00+00:00,2025-04-18 08:00:00+00:00,buy,2025-04-18 02:45:00+00:00,2.08356,2025-04-18 03:00:00+00:00,2.08256,SL,-99.99999999998897
GBPAUD,2025-04-21 16:00:00+00:00,2025-04-22 00:00:00+00:00,sell,2025-04-21 18:30:00+00:00,2.08645,2025-04-21 19:00:00+00:00,2.0844500000000004,TP,199.99999999997794
GBPAUD,2025-04-22 20:00:00+00:00,2025-04-23 04:00:00+00:00,sell,2025-04-23 03:30:00+00:00,2.08081,2025-04-23 04:00:00+00:00,2.0788100000000003,TP,199.99999999997794
GBPAUD,2025-04-23 12:00:00+00:00,2025-04-23 20:00:00+00:00,buy,2025-04-23 15:00:00+00:00,2.07449,2025-04-23 15:15:00+00:00,2.0764899999999997,TP,199.99999999997794
GBPAUD,2025-04-27 20:00:00+00:00,2025-04-28 04:00:00+00:00,buy,2025-04-28 02:15:00+00:00,2.08187,2025-04-28 03:00:00+00:00,2.0838699999999997,TP,199.99999999997794
GBPAUD,2025-04-30 00:00:00+00:00,2025-04-30 08:00:00+00:00,sell,2025-04-30 03:15:00+00:00,2.09234,2025-04-30 04:00:00+00:00,2.0903400000000003,TP,199.99999999997794
GBPAUD,2025-05-01 04:00:00+00:00,2025-05-01 12:00:00+00:00,buy,2025-05-01 07:00:00+00:00,2.07833,2025-05-01 07:15:00+00:00,2.0803299999999996,TP,199.99999999997794
GBPAUD,2025-05-04 20:00:00+00:00,2025-05-05 04:00:00+00:00,buy,2025-05-05 02:45:00+00:00,2.05536,2025-05-05 05:00:00+00:00,2.05436,SL,-99.99999999998897
GBPAUD,2025-05-05 16:00:00+00:00,2025-05-06 00:00:00+00:00,buy,2025-05-05 18:45:00+00:00,2.05449,2025-05-05 21:00:00+00:00,2.05349,SL,-99.99999999998897
GBPAUD,2025-05-06 12:00:00+00:00,2025-05-06 20:00:00+00:00,sell,2025-05-06 18:15:00+00:00,2.05844,2025-05-06 19:15:00+00:00,2.05944,SL,-99.99999999998897
GBPAUD,2025-05-07 20:00:00+00:00,2025-05-08 04:00:00+00:00,sell,2025-05-07 22:15:00+00:00,2.06753,2025-05-08 00:45:00+00:00,2.0655300000000003,TP,199.99999999997794
GBPAUD,2025-05-16 00:00:00+00:00,2025-05-16 08:00:00+00:00,sell,2025-05-16 05:00:00+00:00,2.07203,2025-05-16 06:00:00+00:00,2.0730299999999997,SL,-99.99999999998897
GBPAUD,2025-05-20 08:00:00+00:00,2025-05-20 16:00:00+00:00,sell,2025-05-20 13:00:00+00:00,2.08426,2025-05-20 13:30:00+00:00,2.08526,SL,-99.99999999998897
